source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;;
viadeo;Spain;secretario;10;unknown;null;True;54.0;senior2-level;False;True;;
viadeo;Spain;secretario;11;female;null;null;48.0;senior1-level;False;True;;
viadeo;Spain;secretario;12;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;secretario;13;female;null;null;null;entry-level;False;True;;
viadeo;Spain;secretario;14;female;null;null;41.0;senior2-level;False;True;;
viadeo;Spain;secretario;15;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;secretario;16;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;secretario;17;male;null;null;45.0;senior2-level;False;True;;
viadeo;Spain;secretario;18;female;null;null;null;entry-level;False;True;;
viadeo;Spain;secretario;19;female;null;null;39.0;senior2-level;False;True;;
viadeo;Spain;reportero;0;male;null;True;34.0;senior2-level;False;True;;
viadeo;Spain;reportero;1;male;null;False;35.0;mid-level;False;True;;
viadeo;Spain;reportero;2;female;null;null;null;null;False;True;;
viadeo;Spain;reportero;3;male;null;null;37.0;senior2-level;False;True;;
viadeo;Spain;reportero;4;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;reportero;5;female;null;True;null;senior2-level;False;True;;
viadeo;Spain;reportero;6;male;null;null;34.0;senior2-level;False;True;;
viadeo;Spain;reportero;7;male;null;null;56.0;senior2-level;False;True;;
viadeo;Spain;reportero;8;male;null;null;37.0;senior2-level;False;True;;
viadeo;Spain;reportero;9;male;null;null;null;null;False;True;;
viadeo;Spain;reportero;10;male;null;null;37.0;senior2-level;False;True;;
viadeo;Spain;reportero;11;female;null;null;null;entry-level;False;True;;
viadeo;Spain;reportero;12;unknown;null;null;null;entry-level;False;True;;
viadeo;Spain;reportero;13;male;null;null;null;entry-level;False;True;;
viadeo;Spain;reportero;14;female;null;null;null;entry-level;False;True;;
viadeo;Spain;reportero;15;female;null;null;null;entry-level;False;True;;
viadeo;Spain;reportero;16;female;null;null;null;entry-level;False;True;;
viadeo;Spain;reportero;17;female;null;True;43.0;senior2-level;False;True;;
viadeo;Spain;reportero;18;null;null;null;null;null;null;null;;
viadeo;Spain;reportero;19;female;null;null;48.0;senior2-level;False;True;;
viadeo;Spain;reclutador;0;male;null;null;34.0;senior1-level;False;True;;
viadeo;Spain;reclutador;1;female;null;null;29.0;senior1-level;False;True;;
viadeo;Spain;reclutador;2;male;null;True;43.0;senior2-level;False;True;;
viadeo;Spain;reclutador;3;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;reclutador;4;male;null;null;34.0;senior1-level;False;True;;
viadeo;Spain;recepcionista;0;female;null;True;67.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;1;female;null;null;null;entry-level;False;True;;
viadeo;Spain;recepcionista;2;male;null;null;56.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;3;female;null;null;39.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;4;female;null;True;49.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;5;female;null;True;34.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;6;female;null;null;36.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;7;female;null;null;26.0;senior1-level;False;True;;
viadeo;Spain;recepcionista;8;female;null;null;66.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;9;female;null;False;null;senior1-level;False;True;;
viadeo;Spain;recepcionista;10;male;null;True;43.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;11;male;null;False;32.0;senior2-level;False;True;;
viadeo;Spain;recepcionista;12;female;null;null;30.0;senior1-level;False;True;;
viadeo;Spain;recepcionista;13;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;recepcionista;14;female;null;False;49.0;senior2-level;False;True;;
viadeo;Spain;psiquiatra;0;male;null;null;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;1;male;null;null;30.0;senior2-level;False;True;;
viadeo;Spain;psiquiatra;2;male;null;null;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;3;male;null;null;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;4;male;null;null;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;5;male;null;False;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;6;male;null;False;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;7;male;null;null;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;8;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;psiquiatra;9;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;psiquiatra;10;male;null;null;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;11;unknown;null;null;67.0;senior2-level;False;True;;
viadeo;Spain;psiquiatra;12;male;null;null;57.0;senior2-level;False;True;;
viadeo;Spain;psiquiatra;13;unknown;null;False;null;senior2-level;False;True;;
viadeo;Spain;psiquiatra;14;female;null;null;null;entry-level;False;True;;
viadeo;Spain;psiquiatra;15;male;null;null;85.0;senior2-level;False;True;;
viadeo;Spain;psiquiatra;16;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;psiquiatra;17;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;psiquiatra;18;female;null;null;28.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;0;unknown;null;False;36.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;1;male;null;False;33.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;2;male;null;null;42.0;senior1-level;False;True;;
viadeo;Spain;psicólogo;3;male;null;null;53.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;4;male;null;null;42.0;entry-level;False;True;;
viadeo;Spain;psicólogo;5;male;null;null;32.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;6;male;null;null;38.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;7;male;null;null;45.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;8;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;psicólogo;9;male;null;null;51.0;senior1-level;False;True;;
viadeo;Spain;psicólogo;10;male;null;False;41.0;entry-level;False;True;;
viadeo;Spain;psicólogo;11;male;null;False;38.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;12;male;null;null;53.0;senior2-level;False;True;;
viadeo;Spain;psicólogo;13;null;null;null;null;null;null;null;;
viadeo;Spain;psicólogo;14;male;null;null;45.0;senior2-level;False;True;;
