source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;coiffeur;0;unknown;null;null;null;entry-level;False;True;
viadeo;France;coiffeur;1;unknown;null;True;null;senior2-level;False;True;
viadeo;France;coiffeur;2;unknown;null;True;41.0;senior2-level;False;True;
viadeo;France;coiffeur;3;unknown;null;False;null;senior1-level;False;True;
viadeo;France;coiffeur;4;unknown;null;False;null;null;False;True;
viadeo;France;coiffeur;5;unknown;null;null;null;null;False;True;
viadeo;France;coiffeur;6;null;null;null;null;null;null;null;
viadeo;France;coiffeur;7;unknown;null;null;null;null;False;True;
viadeo;France;coiffeur;8;female;null;True;null;senior2-level;False;True;
viadeo;France;coiffeur;9;null;null;null;null;null;null;null;
viadeo;France;coiffeur;10;male;null;True;null;senior2-level;False;True;
viadeo;France;coiffeur;11;unknown;null;True;null;senior2-level;False;True;
viadeo;France;coiffeur;12;female;null;null;null;null;False;True;
viadeo;France;coiffeur;13;unknown;null;null;null;mid-level;False;True;
viadeo;France;coiffeur;14;unknown;null;False;null;mid-level;False;True;
viadeo;France;coiffeur;15;male;null;null;41.0;senior2-level;False;True;
viadeo;France;coiffeur;16;male;null;null;29.0;mid-level;False;True;
viadeo;France;coiffeur;17;female;null;null;null;senior2-level;False;True;
viadeo;France;coiffeur;18;unknown;null;null;null;entry-level;False;True;
viadeo;France;coiffeur;19;male;null;null;23.0;senior1-level;False;True;
viadeo;France;consultant;0;male;null;null;null;senior2-level;True;True;
viadeo;France;consultant;1;unknown;null;True;null;mid-level;True;True;
viadeo;France;consultant;2;unknown;null;True;null;senior1-level;True;True;
viadeo;France;consultant;3;male;null;null;null;senior1-level;True;True;
viadeo;France;consultant;4;female;null;True;64.0;senior2-level;True;True;
viadeo;France;consultant;5;male;null;null;38.0;senior2-level;True;True;
viadeo;France;consultant;6;male;null;null;48.0;senior2-level;True;True;
viadeo;France;consultant;7;male;null;null;null;senior2-level;True;True;
viadeo;France;consultant;8;male;null;null;46.0;senior2-level;True;True;
viadeo;France;consultant;9;male;null;null;33.0;senior2-level;True;True;
viadeo;France;consultant;10;unknown;null;True;null;senior2-level;True;True;
viadeo;France;consultant;11;unknown;null;True;52.0;senior2-level;True;True;
viadeo;France;consultant;12;female;null;True;23.0;entry-level;True;True;
viadeo;France;consultant;13;male;null;null;25.0;senior1-level;True;True;
viadeo;France;consultant;14;male;null;null;58.0;senior2-level;True;True;
viadeo;France;consultant;15;unknown;null;null;47.0;senior2-level;True;True;
viadeo;France;consultant;16;male;null;null;39.0;mid-level;True;True;
viadeo;France;consultant;17;male;null;null;62.0;senior2-level;True;True;
viadeo;France;consultant;18;unknown;null;null;49.0;senior2-level;True;True;
viadeo;France;consultant;19;male;null;null;64.0;senior2-level;True;True;
viadeo;France;cuisinier;0;unknown;null;False;36.0;senior2-level;False;True;
viadeo;France;cuisinier;1;unknown;null;True;23.0;senior1-level;False;True;
viadeo;France;cuisinier;2;unknown;null;True;55.0;senior2-level;False;True;
viadeo;France;cuisinier;3;unknown;null;False;null;entry-level;False;True;
viadeo;France;cuisinier;4;unknown;null;False;30.0;senior2-level;False;True;
viadeo;France;cuisinier;5;unknown;null;False;30.0;null;False;True;
viadeo;France;cuisinier;6;unknown;null;False;null;null;False;True;
viadeo;France;cuisinier;7;unknown;null;True;null;null;False;True;
viadeo;France;cuisinier;8;female;null;null;45.0;senior2-level;False;True;
viadeo;France;cuisinier;9;female;null;null;50.0;senior2-level;False;True;
viadeo;France;cuisinier;10;female;null;null;60.0;senior2-level;False;True;
viadeo;France;cuisinier;11;female;null;null;41.0;senior2-level;False;True;
viadeo;France;cuisinier;12;male;null;null;45.0;senior2-level;False;True;
viadeo;France;cuisinier;13;female;null;null;34.0;senior2-level;False;True;
viadeo;France;cuisinier;14;male;null;False;null;senior2-level;False;True;
viadeo;France;cuisinier;15;female;null;null;null;senior2-level;False;True;
viadeo;France;cuisinier;16;male;null;null;null;senior2-level;False;True;
viadeo;France;cuisinier;17;female;null;null;30.0;senior1-level;False;True;
viadeo;France;cuisinier;18;male;null;null;35.0;senior2-level;False;True;
viadeo;France;cuisinier;19;male;null;null;33.0;senior2-level;False;True;
viadeo;France;dentiste;0;unknown;null;null;null;mid-level;False;True;
viadeo;France;dentiste;1;unknown;null;False;50.0;senior2-level;False;True;
viadeo;France;dentiste;2;unknown;null;True;null;null;False;True;
viadeo;France;dentiste;3;unknown;null;True;null;mid-level;False;True;
viadeo;France;dentiste;4;unknown;null;null;null;null;False;True;
viadeo;France;dentiste;5;male;null;null;54.0;senior2-level;False;True;
viadeo;France;dentiste;6;unknown;null;null;null;entry-level;False;True;
viadeo;France;dentiste;7;female;null;null;50.0;senior2-level;False;True;
viadeo;France;dentiste;8;female;null;null;null;entry-level;False;True;
viadeo;France;dentiste;9;male;null;null;39.0;senior2-level;False;True;
viadeo;France;dentiste;10;male;null;null;null;senior2-level;False;True;
viadeo;France;dentiste;11;female;null;False;56.0;senior2-level;False;True;
viadeo;France;dentiste;12;male;null;null;null;senior2-level;False;True;
viadeo;France;dentiste;13;male;null;null;62.0;senior2-level;False;True;
viadeo;France;dentiste;14;male;null;null;60.0;senior2-level;False;True;
viadeo;France;dentiste;15;male;null;null;null;senior2-level;False;True;
viadeo;France;dentiste;16;female;null;null;52.0;senior2-level;False;True;
viadeo;France;dentiste;17;male;null;null;null;senior2-level;False;True;
viadeo;France;dentiste;18;male;null;True;32.0;mid-level;False;True;
viadeo;France;dentiste;19;male;null;null;null;senior2-level;False;True;
viadeo;France;designer;0;unknown;null;True;35.0;entry-level;False;True;
viadeo;France;designer;1;unknown;null;True;33.0;null;False;True;
viadeo;France;designer;2;unknown;null;True;null;entry-level;False;True;
viadeo;France;designer;3;unknown;null;True;32.0;senior2-level;False;True;
viadeo;France;designer;4;unknown;null;True;null;senior2-level;False;True;
viadeo;France;designer;5;unknown;null;True;null;senior2-level;False;True;
viadeo;France;designer;6;unknown;null;True;null;senior1-level;False;True;
viadeo;France;designer;7;unknown;null;True;32.0;senior2-level;False;True;
viadeo;France;designer;8;unknown;null;False;null;senior1-level;False;True;
viadeo;France;designer;9;unknown;null;null;30.0;senior1-level;False;True;
viadeo;France;designer;10;unknown;null;True;null;senior2-level;False;True;
viadeo;France;designer;11;female;null;null;46.0;senior2-level;False;True;
viadeo;France;designer;12;unknown;null;True;null;mid-level;True;True;
viadeo;France;designer;13;unknown;null;True;27.0;senior2-level;False;True;
viadeo;France;designer;14;female;null;True;35.0;senior2-level;True;True;
viadeo;France;designer;15;female;null;True;null;senior2-level;True;True;
viadeo;France;designer;16;female;null;null;null;entry-level;True;True;
viadeo;France;designer;17;female;null;True;null;null;True;True;
viadeo;France;designer;18;male;null;null;31.0;senior1-level;False;True;
viadeo;France;designer;19;female;null;True;37.0;senior2-level;False;True;
viadeo;France;développeur;0;unknown;null;True;30.0;senior2-level;False;True;
viadeo;France;développeur;1;female;null;null;42.0;senior2-level;True;True;
viadeo;France;développeur;2;male;null;null;51.0;senior2-level;True;True;
viadeo;France;développeur;3;male;null;null;37.0;senior2-level;True;True;
viadeo;France;développeur;4;male;null;null;null;senior2-level;True;True;
viadeo;France;développeur;5;male;null;False;null;senior2-level;True;True;
