source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;United Kigndom;dentist;13;female;null;null;22.0;senior2-level;False;False
linkedin;United Kigndom;dentist;14;female;null;False;34.0;senior1-level;False;False
linkedin;United Kigndom;dentist;15;female;null;False;null;senior1-level;False;False
linkedin;United Kigndom;dentist;16;unknown;null;True;24.0;mid-level;False;True
linkedin;United Kigndom;dentist;17;female;null;False;36.0;mid-level;False;False
linkedin;United Kigndom;dentist;18;male;null;True;41.0;senior1-level;False;False
linkedin;United Kigndom;dentist;19;female;null;False;38.0;senior2-level;False;False
linkedin;United Kigndom;dentist;20;male;null;False;33.0;senior2-level;False;True
linkedin;United Kigndom;dentist;21;male;null;True;26.0;senior1-level;False;False
linkedin;United Kigndom;dentist;22;female;null;False;48.0;senior2-level;False;True
linkedin;United Kigndom;dentist;23;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;dentist;24;male;null;True;null;entry-level;False;False
linkedin;United Kigndom;designer;0;female;null;False;null;senior1-level;False;True
linkedin;United Kigndom;designer;1;unknown;null;True;24.0;mid-level;False;True
linkedin;United Kigndom;designer;2;female;null;False;29.0;senior2-level;False;True
linkedin;United Kigndom;designer;3;female;null;True;26.0;senior1-level;False;True
linkedin;United Kigndom;designer;4;female;null;False;25.0;senior2-level;False;False
linkedin;United Kigndom;designer;5;female;null;True;33.0;senior1-level;False;False
linkedin;United Kigndom;designer;6;female;null;True;null;entry-level;False;True
linkedin;United Kigndom;designer;7;male;null;False;26.0;mid-level;False;False
linkedin;United Kigndom;designer;8;male;null;True;31.0;senior2-level;False;True
linkedin;United Kigndom;designer;9;male;null;True;32.0;senior1-level;False;True
linkedin;United Kigndom;designer;10;unknown;null;False;30.0;senior2-level;False;False
linkedin;United Kigndom;designer;11;male;null;False;32.0;senior2-level;False;True
linkedin;United Kigndom;designer;12;male;null;True;29.0;senior2-level;False;True
linkedin;United Kigndom;designer;13;male;null;False;40.0;senior2-level;False;True
linkedin;United Kigndom;designer;14;female;null;True;31.0;mid-level;False;False
linkedin;United Kigndom;designer;15;female;null;True;21.0;entry-level;False;False
linkedin;United Kigndom;designer;16;female;null;True;34.0;mid-level;False;False
linkedin;United Kigndom;designer;17;male;null;False;null;senior2-level;True;False
linkedin;United Kigndom;designer;18;female;null;True;null;senior1-level;False;True
linkedin;United Kigndom;designer;19;female;null;False;32.0;entry-level;False;False
linkedin;United Kigndom;designer;20;female;null;True;33.0;mid-level;False;False
linkedin;United Kigndom;designer;21;male;null;True;26.0;senior1-level;False;True
linkedin;United Kigndom;designer;22;female;null;False;27.0;senior1-level;False;False
linkedin;United Kigndom;designer;23;male;null;False;33.0;mid-level;False;False
linkedin;United Kigndom;designer;24;male;null;False;28.0;senior1-level;False;False
linkedin;United Kigndom;developer;0;male;null;False;43.0;senior2-level;False;True
linkedin;United Kigndom;developer;1;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;developer;2;male;null;False;25.0;senior1-level;False;False
linkedin;United Kigndom;developer;3;female;null;True;22.0;mid-level;False;True
linkedin;United Kigndom;developer;4;unknown;null;True;30.0;mid-level;False;True
linkedin;United Kigndom;developer;5;male;null;True;30.0;senior1-level;False;True
linkedin;United Kigndom;developer;6;male;null;False;33.0;senior1-level;False;True
linkedin;United Kigndom;developer;7;male;null;False;31.0;senior2-level;False;True
linkedin;United Kigndom;developer;8;female;null;False;31.0;mid-level;False;True
linkedin;United Kigndom;developer;9;female;null;True;25.0;mid-level;False;True
linkedin;United Kigndom;developer;10;female;null;True;29.0;senior1-level;False;True
linkedin;United Kigndom;developer;11;male;null;False;27.0;mid-level;False;False
linkedin;United Kigndom;developer;12;male;null;True;null;senior1-level;False;False
linkedin;United Kigndom;developer;13;unknown;null;True;29.0;senior1-level;False;False
linkedin;United Kigndom;developer;14;male;null;False;37.0;senior2-level;False;True
linkedin;United Kigndom;developer;15;male;null;True;null;senior1-level;False;True
linkedin;United Kigndom;developer;16;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;developer;17;female;null;True;33.0;senior1-level;False;True
linkedin;United Kigndom;developer;18;unknown;null;True;46.0;senior2-level;False;False
linkedin;United Kigndom;developer;19;male;null;True;36.0;senior2-level;False;True
linkedin;United Kigndom;developer;20;male;null;True;null;mid-level;False;False
linkedin;United Kigndom;developer;21;male;null;True;32.0;mid-level;False;True
linkedin;United Kigndom;developer;22;male;null;True;29.0;senior1-level;False;True
linkedin;United Kigndom;developer;23;male;null;True;35.0;mid-level;False;True
linkedin;United Kigndom;developer;24;male;null;True;29.0;senior1-level;False;True
linkedin;United Kigndom;doctor;0;male;null;True;47.0;mid-level;False;True
linkedin;United Kigndom;doctor;1;female;null;True;null;senior1-level;False;True
linkedin;United Kigndom;doctor;2;female;null;False;30.0;senior2-level;False;True
linkedin;United Kigndom;doctor;3;male;null;False;31.0;senior1-level;False;True
linkedin;United Kigndom;doctor;4;female;null;False;37.0;senior2-level;False;True
linkedin;United Kigndom;doctor;5;female;null;True;26.0;senior1-level;False;True
linkedin;United Kigndom;doctor;6;male;null;False;28.0;mid-level;False;False
linkedin;United Kigndom;doctor;7;male;null;False;null;entry-level;False;True
linkedin;United Kigndom;doctor;8;female;null;True;32.0;mid-level;False;False
linkedin;United Kigndom;doctor;9;unknown;null;False;null;senior1-level;False;False
linkedin;United Kigndom;doctor;10;male;null;False;28.0;senior2-level;False;False
linkedin;United Kigndom;doctor;11;male;null;True;null;mid-level;False;True
linkedin;United Kigndom;doctor;12;male;null;False;33.0;senior1-level;False;True
linkedin;United Kigndom;doctor;13;female;null;False;30.0;senior2-level;False;False
linkedin;United Kigndom;doctor;14;female;null;True;31.0;senior1-level;False;True
linkedin;United Kigndom;doctor;15;male;null;True;35.0;senior2-level;False;True
linkedin;United Kigndom;doctor;16;unknown;null;True;32.0;mid-level;False;False
linkedin;United Kigndom;doctor;17;female;null;True;44.0;senior2-level;False;False
linkedin;United Kigndom;doctor;18;unknown;null;True;34.0;senior2-level;False;False
linkedin;United Kigndom;doctor;19;male;null;False;53.0;senior2-level;False;False
linkedin;United Kigndom;doctor;20;female;null;True;null;mid-level;False;False
linkedin;United Kigndom;doctor;21;female;null;True;29.0;senior1-level;False;False
linkedin;United Kigndom;doctor;22;male;null;False;27.0;entry-level;False;True
linkedin;United Kigndom;doctor;23;male;null;null;26.0;mid-level;False;False
linkedin;United Kigndom;doctor;24;male;null;True;null;senior1-level;False;False
linkedin;United Kigndom;economist;0;male;null;False;40.0;senior2-level;False;False
linkedin;United Kigndom;economist;1;female;null;True;29.0;senior2-level;False;False
linkedin;United Kigndom;economist;2;male;null;True;37.0;senior2-level;False;True
linkedin;United Kigndom;economist;3;male;null;False;null;senior2-level;False;False
