source;country;speciality;#;gender;ethnicity;Is_foreigner;age;experience_level;was_awarded;has_photo;num_stars;num_reviews
top doctors;Mexico;cardiologia especialidad;12;female;hispanic;False;29.0;senior2-level;False;True;5.0;3
top doctors;Mexico;cardiologia especialidad;13;male;hispanic;False;null;senior2-level;False;True;5.0;4
top doctors;Mexico;cardiologia especialidad;15;male;hispanic;False;null;senior2-level;False;True;5.0;3
top doctors;Mexico;cardiologia especialidad;16;male;hispanic;False;28.0;senior2-level;False;True;5.0;2
top doctors;Mexico;cardiologia especialidad;17;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Mexico;cardiologia especialidad;18;female;hispanic;False;23.0;senior2-level;False;True;5.0;4
top doctors;Mexico;cardiologia pediatrica;0;male;hispanic-thai;False;55.0;senior2-level;False;True;0.0;0
top doctors;Mexico;cardiologia pediatrica;1;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;1;female;hispanic;False;21.0;senior2-level;False;True;5.0;4
top doctors;Mexico;cardiologia pediatrica;2;male;hispanic-english;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;3;female;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;4;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;5;female;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;5;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;cardiologia pediatrica;6;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;cardiologia pediatrica;6;female;hispanic-arab;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;7;male;hispanic-greek;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;8;female;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;9;male;german-hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;10;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;11;female;hispanic;False;null;null;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;12;male;hispanic;False;34.0;senior2-level;False;False;0.0;0
top doctors;Mexico;cardiologia pediatrica;13;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;cardiologia pediatrica;17;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Mexico;cirugia bariatrica especialidad;0;male;hispanic;False;30.0;senior2-level;False;True;0.0;0
top doctors;Mexico;cirugia bariatrica especialidad;0;male;hispanic-nordic;False;36.0;senior2-level;False;False;0.0;0
top doctors;Mexico;cirugia bariatrica especialidad;1;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Mexico;cirugia bariatrica especialidad;2;male;hispanic;False;49.0;senior2-level;False;True;5.0;1
top doctors;Mexico;cirugia bariatrica especialidad;3;male;hispanic;False;33.0;senior2-level;False;True;5.0;2
top doctors;Mexico;cirugia bariatrica especialidad;4;male;hispanic-greek;False;23.0;senior2-level;False;True;5.0;1
