source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;politique;13;male;nan;None;42.0;amateur-level;False;True;
viadeo;France;politique;14;male;nan;None;61.0;amateur-level;False;True;
viadeo;France;politique;15;unknown;nan;True;nan;mid-level;False;True;
viadeo;France;politique;16;unknown;nan;True;38.0;amateur-level;False;True;
viadeo;France;politique;17;male;nan;True;nan;amateur-level;False;True;
viadeo;France;politique;18;male;nan;None;27.0;amateur-level;False;True;
viadeo;France;politique;19;female;nan;None;28.0;entry-level;False;True;
viadeo;France;arpenteur;0;male;nan;None;nan;None;False;True;
viadeo;France;arpenteur;1;male;nan;False;nan;amateur-level;False;True;
viadeo;France;arpenteur;2;male;nan;None;nan;mid-level;False;True;
viadeo;France;arpenteur;3;male;nan;None;nan;amateur-level;False;True;
viadeo;France;arpenteur;4;male;nan;None;39.0;amateur-level;False;True;
viadeo;France;arpenteur;5;female;nan;None;50.0;amateur-level;False;True;
viadeo;France;arpenteur;6;male;nan;None;28.0;senior-level;False;True;
viadeo;France;arpenteur;7;female;nan;None;nan;amateur-level;False;True;
viadeo;France;arpenteur;8;male;nan;True;nan;amateur-level;False;True;
viadeo;France;arpenteur;9;unknown;nan;True;34.0;amateur-level;False;True;
viadeo;France;arpenteur;10;male;nan;None;46.0;amateur-level;False;True;
viadeo;France;arpenteur;11;female;nan;False;25.0;senior-level;False;True;
viadeo;France;arpenteur;12;female;nan;None;40.0;amateur-level;False;True;
viadeo;France;arpenteur;13;male;nan;True;58.0;amateur-level;False;True;
viadeo;France;recruteur;0;unknown;nan;None;nan;senior-level;True;True;
viadeo;France;recruteur;1;unknown;nan;False;nan;amateur-level;True;True;
viadeo;France;recruteur;2;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;recruteur;3;unknown;nan;True;35.0;amateur-level;False;True;
viadeo;France;recruteur;4;unknown;nan;False;nan;amateur-level;False;True;
viadeo;France;recruteur;5;unknown;nan;False;nan;senior-level;False;True;
viadeo;France;recruteur;6;unknown;nan;False;nan;mid-level;False;True;
viadeo;France;recruteur;7;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;recruteur;8;unknown;nan;False;nan;amateur-level;False;True;
viadeo;France;recruteur;9;unknown;nan;False;nan;amateur-level;False;True;
viadeo;France;recruteur;10;unknown;nan;None;nan;amateur-level;False;True;
viadeo;France;recruteur;11;unknown;nan;False;nan;amateur-level;False;True;
viadeo;France;recruteur;12;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;recruteur;13;unknown;nan;None;nan;senior-level;False;True;
viadeo;France;recruteur;14;unknown;nan;False;41.0;amateur-level;False;True;
viadeo;France;recruteur;15;unknown;nan;None;nan;amateur-level;False;True;
viadeo;France;recruteur;16;unknown;nan;True;27.0;mid-level;False;True;
viadeo;France;recruteur;17;unknown;nan;True;nan;senior-level;False;True;
viadeo;France;recruteur;18;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;recruteur;19;unknown;nan;True;37.0;amateur-level;False;True;
viadeo;France;secrétaire;0;unknown;nan;None;nan;amateur-level;False;True;
viadeo;France;secrétaire;1;female;nan;False;60.0;amateur-level;False;True;
viadeo;France;secrétaire;2;female;nan;None;32.0;senior-level;False;True;
viadeo;France;secrétaire;3;female;nan;None;40.0;amateur-level;False;True;
viadeo;France;secrétaire;4;female;nan;False;48.0;mid-level;False;True;
viadeo;France;secrétaire;5;female;nan;None;39.0;amateur-level;False;True;
viadeo;France;secrétaire;6;female;nan;None;48.0;amateur-level;True;True;
viadeo;France;secrétaire;7;female;nan;None;nan;amateur-level;True;True;
viadeo;France;secrétaire;8;unknown;nan;True;nan;mid-level;True;True;
viadeo;France;secrétaire;9;female;nan;True;nan;senior-level;True;True;
viadeo;France;secrétaire;10;female;nan;None;nan;amateur-level;True;True;
viadeo;France;secrétaire;11;female;nan;None;40.0;amateur-level;False;True;
viadeo;France;secrétaire;12;female;nan;True;29.0;amateur-level;False;True;
viadeo;France;secrétaire;13;female;nan;None;55.0;amateur-level;False;True;
viadeo;France;secrétaire;14;unknown;nan;True;41.0;amateur-level;False;True;
viadeo;France;secrétaire;15;female;nan;None;62.0;amateur-level;False;True;
