source;country;speciality;#;gender;ethnicity;Is_foreigner;age;experience_level;was_awarded;has_photo;num_stars;num_reviews
top doctors;Colombia;cardiologia infantil;0;female;hispanic-arab;False;null;null;False;True;5.0;2
top doctors;Colombia;cardiologia infantil;1;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cardiologia infantil;2;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cardiologia infantil;3;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cardiologia infantil;4;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cardiologia infantil;5;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cardiologia infantil;6;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cardiologia infantil;7;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cardiologia infantil;8;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia bariatrica especialidad;0;male;hispanic;False;null;null;False;True;5.0;1
top doctors;Colombia;cirugia bariatrica especialidad;0;male;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia bariatrica especialidad;1;male;unknown;True;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia bariatrica especialidad;3;male;hispanic-hungarian;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia bariatrica especialidad;4;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia bariatrica especialidad;5;male;hispanic;False;null;mid-level;False;True;5.0;1
top doctors;Colombia;cirugia bariatrica especialidad;6;male;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Colombia;cirugia bariatrica especialidad;7;male;hispanic;False;null;null;False;True;5.0;1
top doctors;Colombia;cirugia bariatrica especialidad;8;male;hispanic;False;null;senior2-level;False;True;5.0;3
top doctors;Colombia;cirugia cardiaca;0;male;hispanic;False;null;senior2-level;True;True;5.0;6
top doctors;Colombia;cirugia cardiaca;1;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia cardiaca;2;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia cardiaca;3;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia cardiaca;4;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia cardiaca;5;male;indian-hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia cardiaca;6;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia general;0;male;hispanic-english;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;0;male;hispanic;False;null;senior2-level;False;True;5.0;5
top doctors;Colombia;cirugia general;1;female;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia general;1;male;hispanic;False;null;senior2-level;False;True;5.0;2
top doctors;Colombia;cirugia general;2;male;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;2;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia general;3;male;hispanic-chinese;False;48.0;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;4;male;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;5;male;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;6;male;hispanic;False;47.0;mid-level;False;True;5.0;1
top doctors;Colombia;cirugia general;7;male;hispanic;False;46.0;senior2-level;False;True;5.0;3
top doctors;Colombia;cirugia general;9;male;indian-arab;True;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;10;male;hispanic;False;43.0;senior2-level;False;True;5.0;5
top doctors;Colombia;cirugia general;11;male;hispanic;False;null;senior2-level;False;True;5.0;5
top doctors;Colombia;cirugia general;13;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia general;14;male;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;15;male;hispanic;False;null;null;False;True;5.0;1
top doctors;Colombia;cirugia general;17;male;hispanic-hungarian;False;42.0;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia general;18;male;hispanic;False;29.0;senior2-level;False;True;5.0;2
top doctors;Colombia;cirugia general;19;male;hispanic;False;47.0;senior2-level;False;True;5.0;3
top doctors;Colombia;cirugia oncologica especialidad;0;male;hispanic;False;null;null;False;True;5.0;1
top doctors;Colombia;cirugia oral y maxilofacial;0;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;1;male;hispanic;False;40.0;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia oral y maxilofacial;1;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia oral y maxilofacial;2;male;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;2;female;hispanic-english;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;3;male;hispanic;False;23.0;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;3;male;hispanic;False;null;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;4;male;hispanic;False;null;senior2-level;True;True;5.0;2
top doctors;Colombia;cirugia oral y maxilofacial;5;female;hispanic;False;null;senior2-level;False;True;5.0;3
top doctors;Colombia;cirugia oral y maxilofacial;9;male;hispanic;False;26.0;senior2-level;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;10;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;11;female;hispanic-arab;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;12;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;13;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;14;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;15;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;16;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;17;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;18;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia oral y maxilofacial;19;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;0;male;hispanic;False;null;senior2-level;False;True;5.0;2
top doctors;Colombia;cirugia pediatrica;1;male;hispanic;False;null;senior2-level;False;True;5.0;1
top doctors;Colombia;cirugia pediatrica;2;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;3;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;4;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;5;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;6;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;7;female;hispanic;False;null;null;False;True;0.0;0
top doctors;Colombia;cirugia pediatrica;8;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;9;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;10;male;hispanic;False;null;null;False;False;0.0;0
top doctors;Colombia;cirugia pediatrica;11;male;hispanic;False;null;null;False;False;0.0;0
