source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;France;cuisinier;23;male;null;null;null;senior1-level;False;False
linkedin;France;cuisinier;24;male;null;False;null;senior2-level;False;False
linkedin;France;designer;0;female;null;null;39.0;mid-level;False;True
linkedin;France;designer;1;male;null;True;28.0;senior1-level;False;True
linkedin;France;designer;2;unknown;null;True;23.0;mid-level;False;False
linkedin;France;designer;3;female;null;null;35.0;senior2-level;False;True
linkedin;France;designer;4;male;null;null;26.0;mid-level;False;True
linkedin;France;designer;5;unknown;null;null;27.0;senior1-level;False;False
linkedin;France;designer;6;male;null;null;null;senior2-level;False;True
linkedin;France;designer;7;male;null;null;25.0;senior1-level;False;False
linkedin;France;designer;8;female;null;True;null;senior1-level;False;True
linkedin;France;designer;9;male;null;null;26.0;senior1-level;False;False
linkedin;France;designer;10;unknown;null;True;35.0;senior1-level;False;True
linkedin;France;designer;11;male;null;null;30.0;senior2-level;True;True
linkedin;France;designer;12;male;null;null;26.0;entry-level;False;True
linkedin;France;designer;13;female;null;null;23.0;mid-level;False;False
linkedin;France;designer;14;male;null;null;30.0;senior1-level;False;True
linkedin;France;designer;15;male;null;null;null;senior2-level;False;True
linkedin;France;designer;16;female;null;True;null;mid-level;False;False
linkedin;France;designer;17;male;null;null;null;senior2-level;False;False
linkedin;France;designer;18;female;null;True;36.0;senior1-level;False;False
linkedin;France;designer;19;male;null;null;25.0;mid-level;False;False
linkedin;France;designer;20;female;null;True;null;senior1-level;False;True
linkedin;France;designer;21;male;null;True;46.0;senior2-level;False;False
linkedin;France;designer;22;female;null;True;24.0;mid-level;False;False
linkedin;France;designer;23;male;null;null;37.0;senior2-level;False;False
linkedin;France;designer;24;female;null;null;54.0;senior2-level;False;True
linkedin;France;développeur;0;female;null;True;22.0;entry-level;False;True
linkedin;France;développeur;1;unknown;null;null;27.0;senior1-level;False;True
linkedin;France;développeur;2;male;null;null;19.0;entry-level;False;True
linkedin;France;développeur;3;female;null;null;22.0;entry-level;False;True
linkedin;France;développeur;4;male;null;null;26.0;mid-level;False;True
linkedin;France;développeur;5;male;null;True;33.0;senior1-level;True;True
linkedin;France;développeur;6;male;null;null;33.0;senior2-level;False;True
linkedin;France;développeur;7;unknown;null;True;35.0;senior2-level;False;False
linkedin;France;développeur;8;male;null;null;38.0;senior2-level;True;True
linkedin;France;développeur;9;unknown;null;True;null;senior2-level;False;False
linkedin;France;développeur;10;male;null;null;23.0;mid-level;False;False
linkedin;France;développeur;11;male;null;null;null;senior2-level;False;False
linkedin;France;développeur;12;female;null;True;27.0;senior1-level;False;True
linkedin;France;développeur;13;male;null;null;21.0;entry-level;False;False
linkedin;France;développeur;14;male;null;null;24.0;mid-level;False;False
linkedin;France;développeur;15;male;null;False;22.0;entry-level;False;False
linkedin;France;développeur;16;male;null;True;null;senior1-level;False;True
linkedin;France;développeur;17;female;null;null;40.0;senior2-level;False;True
linkedin;France;développeur;18;male;null;null;27.0;senior1-level;True;False
linkedin;France;développeur;19;male;null;null;19.0;entry-level;False;True
linkedin;France;développeur;20;male;null;True;20.0;mid-level;True;True
linkedin;France;développeur;21;female;null;False;20.0;entry-level;False;True
linkedin;France;développeur;22;male;null;True;27.0;mid-level;False;True
linkedin;France;développeur;23;male;null;True;24.0;mid-level;False;True
linkedin;France;développeur;24;male;null;null;46.0;senior2-level;False;True
linkedin;France;économiste;0;female;null;True;23.0;senior1-level;False;False
linkedin;France;économiste;1;female;null;False;56.0;senior2-level;False;True
linkedin;France;économiste;2;unknown;null;null;48.0;senior2-level;False;False
linkedin;France;économiste;3;male;null;False;38.0;senior2-level;False;False
linkedin;France;économiste;4;male;null;null;null;mid-level;False;True
linkedin;France;économiste;5;unknown;null;null;24.0;senior2-level;False;True
linkedin;France;économiste;6;female;null;null;null;senior2-level;False;True
linkedin;France;économiste;7;unknown;null;True;null;entry-level;False;True
linkedin;France;économiste;8;unknown;null;null;null;senior2-level;False;True
linkedin;France;économiste;9;female;null;null;35.0;senior2-level;False;False
linkedin;France;économiste;10;male;null;False;21.0;mid-level;False;True
linkedin;France;économiste;11;male;null;null;null;senior1-level;True;True
linkedin;France;économiste;12;male;null;null;30.0;senior1-level;False;False
linkedin;France;économiste;13;male;null;null;25.0;senior2-level;False;True
linkedin;France;économiste;14;unknown;null;True;22.0;senior2-level;False;False
linkedin;France;économiste;15;male;null;True;38.0;senior2-level;False;True
linkedin;France;économiste;16;male;null;null;null;senior2-level;False;True
linkedin;France;économiste;17;male;null;null;54.0;senior2-level;False;False
linkedin;France;économiste;18;male;null;False;24.0;senior1-level;False;True
linkedin;France;économiste;19;male;null;False;null;senior2-level;False;False
linkedin;France;économiste;20;female;null;null;26.0;mid-level;False;True
linkedin;France;économiste;21;female;null;False;30.0;mid-level;False;False
linkedin;France;économiste;22;male;null;False;30.0;senior1-level;False;True
linkedin;France;économiste;23;male;null;null;23.0;mid-level;False;True
linkedin;France;économiste;24;female;null;True;38.0;senior2-level;False;False
linkedin;France;écrivain;0;female;null;False;36.0;senior2-level;False;True
linkedin;France;écrivain;1;unknown;null;True;45.0;senior2-level;False;False
linkedin;France;écrivain;2;male;null;null;47.0;senior2-level;False;False
linkedin;France;écrivain;3;male;null;null;42.0;senior2-level;False;True
linkedin;France;écrivain;4;male;null;null;33.0;senior1-level;False;True
linkedin;France;écrivain;5;male;null;null;35.0;senior2-level;False;False
linkedin;France;écrivain;6;female;null;null;57.0;senior2-level;False;False
linkedin;France;écrivain;7;female;null;False;64.0;senior2-level;False;False
linkedin;France;écrivain;8;male;null;False;null;senior2-level;False;True
linkedin;France;écrivain;9;male;null;null;null;senior2-level;False;False
linkedin;France;écrivain;10;unknown;null;null;null;null;False;True
linkedin;France;écrivain;11;male;null;True;null;entry-level;False;False
linkedin;France;écrivain;12;female;null;null;null;entry-level;False;False
linkedin;France;écrivain;13;male;null;True;null;senior1-level;False;False
linkedin;France;écrivain;14;male;null;null;null;senior2-level;False;False
linkedin;France;écrivain;15;female;null;True;null;senior2-level;False;False
linkedin;France;écrivain;16;female;null;True;50.0;senior2-level;False;False
linkedin;France;écrivain;17;female;null;null;null;senior2-level;False;True
linkedin;France;écrivain;18;male;null;True;null;senior2-level;False;True
linkedin;France;écrivain;19;male;null;null;34.0;senior2-level;False;True
linkedin;France;écrivain;20;female;null;null;null;entry-level;False;True
linkedin;France;écrivain;21;male;null;null;null;senior2-level;False;False
linkedin;France;écrivain;22;male;null;null;57.0;mid-level;False;False
linkedin;France;écrivain;23;male;null;null;null;senior2-level;False;False
linkedin;France;écrivain;24;female;null;null;67.0;senior2-level;False;True
linkedin;France;instructeur;0;male;null;null;null;senior2-level;False;True
linkedin;France;instructeur;1;male;null;null;29.0;senior2-level;False;True
linkedin;France;instructeur;2;male;null;True;48.0;senior2-level;False;True
linkedin;France;instructeur;3;female;null;null;null;senior2-level;False;False
linkedin;France;instructeur;4;male;null;null;40.0;senior2-level;False;True
linkedin;France;instructeur;5;male;null;null;29.0;senior2-level;False;False
linkedin;France;instructeur;6;male;null;null;29.0;senior2-level;False;True
linkedin;France;instructeur;7;unknown;null;null;36.0;senior2-level;False;True
linkedin;France;instructeur;8;female;null;False;36.0;senior2-level;False;True
linkedin;France;instructeur;9;female;null;null;null;senior2-level;False;True
linkedin;France;instructeur;10;male;null;null;null;senior2-level;False;False
linkedin;France;instructeur;11;male;null;False;22.0;senior2-level;False;False
linkedin;France;instructeur;12;male;null;null;29.0;senior2-level;False;True
linkedin;France;instructeur;13;female;null;True;null;senior1-level;False;False
linkedin;France;instructeur;14;male;null;null;null;senior2-level;False;False
linkedin;France;instructeur;15;male;null;null;null;senior2-level;True;True
linkedin;France;instructeur;16;male;null;null;null;mid-level;False;False
linkedin;France;instructeur;17;male;null;null;null;senior2-level;False;True
linkedin;France;instructeur;18;male;null;null;27.0;mid-level;False;False
linkedin;France;instructeur;19;male;null;True;null;senior2-level;False;False
linkedin;France;instructeur;20;male;null;False;26.0;senior1-level;False;False
linkedin;France;instructeur;21;male;null;null;27.0;senior2-level;False;True
linkedin;France;instructeur;22;male;null;null;null;senior2-level;False;False
linkedin;France;instructeur;23;male;null;null;20.0;senior2-level;False;True
linkedin;France;instructeur;24;male;null;null;null;senior2-level;False;True
linkedin;France;jardinier;0;male;null;null;32.0;senior2-level;False;True
linkedin;France;jardinier;1;unknown;null;null;52.0;senior2-level;False;True
linkedin;France;jardinier;2;male;null;null;33.0;senior1-level;False;False
linkedin;France;jardinier;3;male;null;null;38.0;senior2-level;False;False
linkedin;France;jardinier;4;female;null;False;29.0;senior1-level;False;True
linkedin;France;jardinier;5;male;null;null;null;senior2-level;False;True
linkedin;France;jardinier;6;male;null;null;null;senior1-level;False;True
linkedin;France;jardinier;7;male;null;False;null;entry-level;False;False
linkedin;France;jardinier;8;unknown;null;null;35.0;senior2-level;False;True
